"TIME" "day","TOA","SWin","LWin","Tair","RH","rain"
"yyyy-mm-dd HH:MM:SS","TF","W.m-2","W.m-2","W.m-2","Celsius","%","mm"
2010-10-20 12:45:00,TRUE,614.966747192221,487.9,246.93808634124,7.46055555343628,47.1922225952148,0
2010-10-20 13:00:00,TRUE,599.024230328215,477,242.7556320512,7.26424598693848,45.6279335021973,0
2010-10-20 13:15:00,TRUE,579.688840327337,453.5,240.995760082868,7.55722236633301,43.2999992370605,0
2010-10-20 13:30:00,TRUE,557.043394780205,434.3,243.58261392132,7.80777788162231,43.5722236633301,0
2010-10-20 13:45:00,TRUE,531.184888779786,414.4,242.275421482049,7.67999982833862,43.5583343505859,0
2010-10-20 14:00:00,TRUE,502.224079467122,393.2,242.2556320512,7.64413404464722,43.5318450927734,0
2010-10-20 14:15:00,TRUE,470.285011632196,369.4,241.436391403786,7.85722208023071,41.5833320617676,0
2010-10-20 14:30:00,TRUE,435.504486401752,342.2,241.436391403786,7.81166648864746,42.695556640625,0
2010-10-20 14:45:00,TRUE,398.031475290139,314,240.999554913805,7.78722238540649,41.7172241210938,0
2010-10-20 15:00:00,TRUE,358.026482122598,281.2,239.648406399041,7.83687162399292,41.4217872619629,0
2010-10-20 15:15:00,TRUE,315.66085556418,248.4,238.902176088828,7.96000003814697,40.1805572509766,0
2010-10-20 15:30:00,TRUE,271.116055199013,213.1,236.313373277266,7.91388893127441,38.5988883972168,0
2010-10-20 15:45:00,TRUE,224.582874303207,98.6,234.432602005595,7.76166677474976,39.125,0
2010-10-20 16:00:00,TRUE,176.260622640668,102.5,234.422925391685,7.77318429946899,38.9944152832031,0
2010-10-20 16:15:00,TRUE,126.356272781837,33.55,233.612444632417,7.58674049377441,39.2331504821777,0
2010-10-20 16:30:00,TRUE,75.0835736021002,31.14,233.808142438686,7.41722202301025,39.4594459533691,0
2010-10-20 16:45:00,TRUE,22.6621347567106,31.95,233.208142438686,7.37222242355347,39.5683326721191,0
2010-10-20 17:00:00,FALSE,0,4.736,232.805968246267,7.18268156051636,40.5424575805664,0
2010-10-20 17:15:00,FALSE,0,0,233.709952,7.12944459915161,41.9011116027832,0
2010-10-20 17:30:00,FALSE,0,0,231.015275639259,6.96777772903442,42.0527763366699,0
2010-10-20 17:45:00,FALSE,0,0,230.822729965996,6.83055543899536,41.8155555725098,0
2010-10-20 18:00:00,FALSE,0,0,231.727255185544,6.80167579650879,42.3508377075195,0
2010-10-20 18:15:00,FALSE,0,0,231.532311935284,6.67666673660278,43.102222442627,0
2010-10-20 18:30:00,FALSE,0,0,231.737899834942,6.57666683197021,43.787223815918,0
2010-10-20 18:45:00,FALSE,0,0,233.037899834942,6.7155556678772,44.2088890075684,0
2010-10-20 19:00:00,FALSE,0,0,232.844018504376,6.57765340805054,44.5832405090332,0
2010-10-20 19:15:00,FALSE,0,0,233.044018504376,6.58277797698975,45.2966651916504,0
2010-10-20 19:30:00,FALSE,0,0,232.844018504376,6.41717767715454,46.1472396850586,0
2010-10-20 19:45:00,FALSE,0,0,232.650667563585,6.47222232818604,46.6100006103516,0
2010-10-20 20:00:00,FALSE,0,0,232.550667563585,6.47430181503296,47.0770950317383,0
2010-10-20 20:15:00,FALSE,0,0,232.3578466327,6.29833316802979,47.6161117553711,0
2010-10-20 20:30:00,FALSE,0,0,232.373793281861,6.37444448471069,48.7961120605469,0
2010-10-20 20:45:00,FALSE,0,0,231.591855415643,6.17277765274048,49.5072212219238,0
2010-10-20 21:00:00,FALSE,0,0,230.601678841044,6.15586614608765,49.9949722290039,0
2010-10-20 21:15:00,FALSE,0,0,229.812030000005,5.87333345413208,50.406665802002,0
2010-10-20 21:30:00,FALSE,0,0,229.934314003086,5.97555541992188,51.1483345031738,0
2010-10-20 21:45:00,FALSE,0,0,230.1587043952,5.50111103057861,54.4033317565918,0
2010-10-20 22:00:00,FALSE,0,0,230.68519814884,5.30391073226929,57.2173194885254,0
2010-10-20 22:15:00,FALSE,0,0,230.013792238674,4.82000017166138,57.526668548584,0
2010-10-20 22:30:00,FALSE,0,0,229.74448364155,4.58222198486328,59.2405548095703,0
2010-10-20 22:45:00,FALSE,0,0,229.360614891238,4.44055557250977,60.8588905334473,0
2010-10-20 23:00:00,FALSE,0,0,228.677269336491,4.28268146514893,61.6759757995605,0
2010-10-20 23:15:00,FALSE,0,0,228.594446600027,3.8922221660614,63.1305541992188,0
2010-10-20 23:30:00,FALSE,0,0,228.449111529554,3.62388896942139,65.6688919067383,0
2010-10-20 23:45:00,FALSE,0,0,228.668376296124,3.52055549621582,64.5588912963867,0
2010-10-21 00:00:00,FALSE,0,0,228.108468254544,3.01284909248352,65.911735534668,0
2010-10-25 00:15:00,FALSE,0,0,239.99923284073,4.48999977111816,74.6600036621094,0
2010-10-25 00:30:00,FALSE,0,0,240.09923284073,4.37666654586792,74.4649963378906,0
2010-10-25 00:45:00,FALSE,0,0,240.39923284073,4.2877779006958,73.8927764892578,0
2010-10-25 01:00:00,FALSE,0,0,240.113792238674,4.24860334396362,73.4983215332031,0
2010-10-25 01:15:00,FALSE,0,0,239.913792238674,4.16111087799072,73.1155548095703,0
2010-10-25 01:30:00,FALSE,0,0,240.028875964844,4.02166652679443,73.6311111450195,0
2010-10-25 01:45:00,FALSE,0,0,240.128875964844,4.003333568573,73.48388671875,0
2010-10-25 02:00:00,FALSE,0,0,239.34448364155,3.91117310523987,73.489387512207,0
2010-10-25 02:15:00,FALSE,0,0,239.060614891239,3.91731834411621,73.3474884033203,0
2010-10-25 02:30:00,FALSE,0,0,238.94448364155,3.89888882637024,73.2294464111328,0
2010-10-25 02:45:00,FALSE,0,0,237.477269336491,3.72722220420837,73.6699981689453,0
2010-10-25 03:00:00,FALSE,0,0,236.5121463047,3.70000004768372,73.7837982177734,0
2010-10-25 03:15:00,FALSE,0,0,236.2303680735,3.65027618408203,73.8535919189453,0
2010-10-25 03:30:00,FALSE,0,0,236.1303680735,3.54722213745117,73.7594451904297,0
2010-10-25 03:45:00,FALSE,0,0,236.349111529554,3.45666670799255,74.0761108398438,0
